PLAYER;TEAM;AGE;HEIGHT;MINUTES;PAINT_FGM;PAINT_FGA;PAINT_FG%;MR_FGM;MR_FGA;MR_FG%;3_FGM;3_FGA;3_FG%;FTM;FTA;FT%;PPG;OREB;DREB;AST;TOV;STL;BLK;DRIVES;POSTUPS;CATCH_SHOOT;USG%;PIE
Justin Patton;DET;23;6'11;4.8;0.6;1;0.6;0;0.2;0;0.2;1;25;0;0;0;1.8;0.2;0.8;0.4;0.4;0;0;0.2;0.2;0.8;19.4;2.9
Justin Robinson;WAS;22;6'1;5.4;0.1;0.1;1;0.1;0.8;16.7;0.4;0.6;30;0;0;0;1.4;0.1;0.4;0.8;0.3;0;0.1;0.7;0;0.4;13.3;7.7
Justin Wright-Foreman;UTA;22;6'0;11.3;1.2;2.1;0.571;0.3;1;33.3;0.6;2.6;30.55;0.3;0.5;50;4.8;0;1.3;1.8;0.8;0.5;0;3.3;0;0.8;22.5;6.5
Justise Winslow;MEM;24;6'6;32;3.5;7.8;0.449;0.5;1.5;37.5;0.6;2.4;25.65;0.3;0.5;50;11.3;1.5;5.2;4;2.2;0.6;0.5;8.5;0.9;1.9;19;7.4
Jusuf Nurkic;POR;25;7'0;31.6;6.3;11.2;0.563;0.3;1.3;20;0.3;1.2;11.1;0;0;0;17.6;2.9;7.4;4;2.4;1.4;2;1;5.4;1;23.2;12.4
Juwan Morgan;UTA;23;6'7;6.4;0.7;1;0.7;0;0;0;0.2;0.6;33.325;0;0;0;1.7;0.5;0.9;0.3;0.3;0;0.1;0.1;0;0.4;10.1;6.1
KZ Okpala;MIA;21;6'8;5.2;0.8;1.1;0.727;0;0;0;0;0.3;0;0;0;0;1.4;0.2;0.8;0.2;0.2;0.4;0.2;0.2;0;0.2;10.2;10.3
Kadeem Allen;NYK;27;6'1;11.7;1.1;2.2;0.5;0.4;0.8;50;0.5;1.8;34.475;0;0;0;5;0.2;0.7;2.1;0.8;0.5;0.2;4.9;0;0.9;19.1;8.7
Karl-Anthony Towns;MIN;24;6'11;33.9;5.4;8.6;0.628;0.4;1.3;28.9;3.2;7.9;47.3;0.9;1.1;84.2;26.5;2.7;8.1;4.4;3.1;0.9;1.2;4.1;7.9;5.9;27.8;16.8
Kawhi Leonard;LAC;29;6'7;32.4;4.8;8.5;0.565;2.5;5.7;42.9;2.2;5.7;41.1;2.3;2.5;90.2;27.1;0.9;6.1;4.9;2.6;1.8;0.6;13.4;4.6;2.7;32.7;19.1
Keita Bates-Diop;DEN;24;6'8;16.9;1.5;2.8;0.536;0;0.1;16.7;0.8;2.4;34.5;0.3;0.4;72.2;6.5;0.6;2.3;0.7;0.4;0.4;0.5;1.7;0;2.2;15.6;8.6
Kelan Martin;MIN;24;6'5;16;1.3;2.3;0.565;0.2;0.5;40;0.8;3.3;26.375;0.1;0.1;100;6.4;0.4;2.7;0.7;0.6;0.2;0.3;2.3;0;2.6;17.1;7.7
Keldon Johnson;SAS;20;6'5;17.7;2.2;3.6;0.611;0.3;0.6;55.6;1;1.5;70.825;1.1;1.4;75;9.1;0.6;2.8;0.9;0.8;0.8;0.1;3.9;0.1;1.2;16.4;11.2
